video_name,frame_number,x1,y1,x2,y2,confidence,is_face,class_name,object_class,face_id,class_id,original_video
segment_000,1,0.565338134765625,138.04678344726562,300.788818359375,477.5181579589844,0.8159425854682922,False,person,0,-1,-1,video_1
segment_000,2,0.2801920473575592,136.55288696289062,291.5921630859375,477.87591552734375,0.7971262335777283,False,person,0,-1,-1,video_1
segment_000,3,2.506587266921997,136.8632354736328,292.9867248535156,477.9873046875,0.8825802206993103,False,person,0,-1,-1,video_1
segment_000,4,3.6122095584869385,138.34085083007812,297.62017822265625,475.2946472167969,0.8595125079154968,False,person,0,-1,-1,video_1
segment_000,4,192.9550018310547,2.0062763690948486,556.8486328125,132.1207733154297,0.4782503247261047,False,book,73,-1,-1,video_1
segment_000,5,5.35194730758667,140.95263671875,311.5682373046875,477.0176696777344,0.8286156058311462,False,person,0,-1,-1,video_1
segment_000,5,207.23025512695312,2.310316324234009,568.7526245117188,135.1136016845703,0.2927345335483551,False,book,73,-1,-1,video_1
segment_000,6,1.7212282419204712,145.44615173339844,320.2871398925781,480.0,0.6457278728485107,False,person,0,-1,-1,video_1
segment_000,7,0.0,153.30850219726562,323.7742004394531,480.0,0.7604920864105225,False,person,0,-1,-1,video_1
segment_000,8,0.0,158.76927185058594,333.3772888183594,480.0,0.738161563873291,False,person,0,-1,-1,video_1
segment_000,9,0.0,152.89292907714844,339.5851745605469,480.0,0.3884778022766113,False,person,0,-1,-1,video_1
segment_000,9,1.4551682472229004,15.62447738647461,340.9474792480469,404.8728637695313,0.4668079614639282,False,person,0,-1,-1,video_1
segment_000,10,0.0,222.24557495117188,345.6382751464844,477.8114318847656,0.1480463594198227,False,person,0,-1,-1,video_1
segment_000,10,1.9740009307861328,19.75889587402344,346.6956481933594,462.21868896484375,0.793615460395813,False,person,0,-1,-1,video_1
segment_000,11,0.0,256.1181030273437,350.2298583984375,478.2770385742188,0.1612190008163452,False,person,0,-1,-1,video_1
segment_000,11,1.1538841724395752,17.50428009033203,355.8110046386719,480.0,0.8003465533256531,False,person,0,-1,-1,video_1
segment_000,12,1.652817726135254,270.435546875,360.0186462402344,479.0197448730469,0.1517273038625717,False,person,0,-1,-1,video_1
segment_000,12,1.414263129234314,31.83847427368164,369.8997497558594,480.0,0.8359178900718689,False,person,0,-1,-1,video_1
segment_000,13,3.088905572891236,272.9940185546875,366.7799682617188,479.7192077636719,0.4093948900699615,False,person,0,-1,-1,video_1
segment_000,13,2.7417595386505127,11.143839836120604,450.0898132324219,443.5196533203125,0.3300415575504303,False,person,0,-1,-1,video_1
segment_000,14,3.121258020401001,280.04833984375,320.3759460449219,480.0,0.3773148953914642,False,person,0,-1,-1,video_1
segment_000,14,3.4406306743621826,3.842729568481445,578.522705078125,469.89453125,0.1464893966913223,False,person,0,-1,-1,video_1
segment_000,14,5.310145854949951,194.34771728515625,391.48095703125,479.06640625,0.3466115593910217,False,person,0,-1,-1,video_1
segment_000,15,12.843234062194824,300.1723327636719,322.9355163574219,479.5852355957031,0.4462907314300537,False,person,0,-1,-1,video_1
segment_000,15,4.474172115325928,1.818698763847351,629.7871704101562,477.8934020996094,0.2133927643299102,False,bed,59,-1,-1,video_1
segment_000,15,14.979039192199709,198.8917694091797,402.1965026855469,478.7384033203125,0.2890605330467224,False,person,0,-1,-1,video_1
segment_000,16,30.57465934753418,311.4120483398437,373.9478759765625,478.4124450683594,0.1042569726705551,False,person,0,-1,-1,video_1
segment_000,16,2.675200939178467,0.0,640.0,479.2007751464844,0.1676158010959625,False,person,0,-1,-1,video_1
segment_000,16,29.70945930480957,197.24252319335935,410.3679809570313,478.50579833984375,0.5509716868400574,False,person,0,-1,-1,video_1
